id_peli,titulo,genero, rating
1,Docks of New York,Terror,4.5
6,Eenfance naked Childhood,Terror,5.8
8,How to Survive a Plague,Terror,3.8
16,North Face,Terror,8.9
18,Chu Chin Chow,Terror,8.3
34,Yonkers Joe,Terror,6.3
37,Designing Woman,Terror,3.3
42,Experiment in Terror,Terror,9.0
48,Taxi 4,Terror,5.2
56,Minions,Terror,7.4
58,Link,Terror,4.0
64,Ugly Truth,Terror,4.4
67,Mystery Science Theater 3000,Terror,9.7
71,Dr. Jack,Terror,6.6
74,In America,Terror,6.4
79,Kanine,Terror,8.5
83,Dodge City,Terror,5.4
92,Silent House,Terror,6.5
